task,item_uid,answer,response_alternatives,prompt_phrase,full_prompt,trial_type,age_band,category,hardness
synthetic-vocab,synthetic_vocab__sock,sock,"shoe,wing,seahorse",sock,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: sock.",test,3,object,1
synthetic-vocab,synthetic_vocab__fire,fire,"game,sandbox,noodle",fire,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: fire.",test,3,object,1
synthetic-vocab,synthetic_vocab__orange,orange,"honey,bus,chipmunk",orange,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: orange.",test,3,object,1
synthetic-vocab,synthetic_vocab__spider,spider,"bug,grasshopper,gumball",spider,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: spider.",test,3,animal,1
synthetic-vocab,synthetic_vocab__pillow,pillow,"cushion,jeans,tool",pillow,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pillow.",test,3,object,1
synthetic-vocab,synthetic_vocab__shirt,shirt,"undershirt,chair,ladybug",shirt,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: shirt.",test,4,object,1
synthetic-vocab,synthetic_vocab__tree,tree,"plant,clover,walrus",tree,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tree.",test,4,object,1
synthetic-vocab,synthetic_vocab__key,key,"boy,pot,octopus",key,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: key.",test,4,object,1
synthetic-vocab,synthetic_vocab__bear,bear,"man,chicken,dalmatian",bear,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bear.",test,4,animal,1
synthetic-vocab,synthetic_vocab__ear,ear,"nose,trophy,hyena",ear,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ear.",test,4,object,1
synthetic-vocab,synthetic_vocab__cat,cat,"kitten,sheep,clothesline",cat,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: cat.",test,4,animal,1
synthetic-vocab,synthetic_vocab__bubble,bubble,"sundae,beet,asparagus",bubble,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bubble.",test,4,object,1
synthetic-vocab,synthetic_vocab__egg,egg,"yolk,pants,splinter",egg,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: egg.",test,4,object,1
synthetic-vocab,synthetic_vocab__worm,worm,"baby,shell,screwdriver",worm,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: worm.",test,4,animal,1
synthetic-vocab,synthetic_vocab__tiger,tiger,"goat,elephant,chalkboard",tiger,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tiger.",test,4,animal,1
synthetic-vocab,synthetic_vocab__lamp,lamp,"lampshade,bush,domino",lamp,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: lamp.",test,4,object,1
synthetic-vocab,synthetic_vocab__phone,phone,"photograph,checkers,floss",phone,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: phone.",test,4,object,1
synthetic-vocab,synthetic_vocab__apple,apple,"candy,hand,hydrant",apple,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: apple.",test,4,object,1
synthetic-vocab,synthetic_vocab__horse,horse,"pony,tick,perfume",horse,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: horse.",test,4,animal,1
synthetic-vocab,synthetic_vocab__strawberry,strawberry,"raspberry,outfit,pantyhose",strawberry,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: strawberry.",test,4,object,1
synthetic-vocab,synthetic_vocab__bowl,bowl,"plate,mirror,hippopotamus",bowl,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bowl.",test,4,object,1
synthetic-vocab,synthetic_vocab__pancake,pancake,"pickle,finger,seaweed",pancake,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pancake.",test,4,object,1
synthetic-vocab,synthetic_vocab__balloon,balloon,"ball,playpen,hummingbird",balloon,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: balloon.",test,4,object,1
synthetic-vocab,synthetic_vocab__wheel,wheel,"dial,fork,suspenders",wheel,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: wheel.",test,4,object,1
synthetic-vocab,synthetic_vocab__tape,tape,"paper,lightbulb,meatloaf",tape,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tape.",test,4,object,1
synthetic-vocab,synthetic_vocab__lion,lion,"wolf,ant,dustpan",lion,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: lion.",test,4,animal,1
synthetic-vocab,synthetic_vocab__clock,clock,"watch,closet,caterpillar",clock,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: clock.",test,4,object,1
synthetic-vocab,synthetic_vocab__chalk,chalk,"paint,wafer,melon",chalk,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: chalk.",test,4,object,1
synthetic-vocab,synthetic_vocab__leaf,leaf,"feather,engine,hook",leaf,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: leaf.",test,5,object,2
synthetic-vocab,synthetic_vocab__tomato,tomato,"ketchup,broom,fireplace",tomato,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tomato.",test,5,object,2
synthetic-vocab,synthetic_vocab__belt,belt,"strap,spacesuit,handprint",belt,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: belt.",test,5,object,2
synthetic-vocab,synthetic_vocab__pizza,pizza,"pepperoni,bell,doorknocker",pizza,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pizza.",test,5,object,2
synthetic-vocab,synthetic_vocab__tie,tie,"rag,flagpole,platypus",tie,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tie.",test,5,object,2
synthetic-vocab,synthetic_vocab__lemon,lemon,"gem,brush,videocassette",lemon,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: lemon.",test,5,object,2
synthetic-vocab,synthetic_vocab__button,button,"knob,sweater,iguana",button,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: button.",test,5,object,2
synthetic-vocab,synthetic_vocab__pumpkin,pumpkin,"cinnamon,jar,seal",pumpkin,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pumpkin.",test,5,object,2
synthetic-vocab,synthetic_vocab__mask,mask,"face,bread,tarantula",mask,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: mask.",test,5,object,2
synthetic-vocab,synthetic_vocab__football,football,"baseball,mustache,orangutan",football,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: football.",test,5,object,2
synthetic-vocab,synthetic_vocab__beard,beard,"razor,branch,goldfish",beard,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: beard.",test,5,object,2
synthetic-vocab,synthetic_vocab__bow,bow,"bonnet,crate,ostrich",bow,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bow.",test,5,object,2
synthetic-vocab,synthetic_vocab__giraffe,giraffe,"deer,slug,boulder",giraffe,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: giraffe.",test,5,animal,2
synthetic-vocab,synthetic_vocab__peanut,peanut,"biscuit,cannonball,kaleidoscope",peanut,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: peanut.",test,5,object,2
synthetic-vocab,synthetic_vocab__bee,bee,"beehive,lamb,railing",bee,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: bee.",test,5,animal,2
synthetic-vocab,synthetic_vocab__zipper,zipper,"whip,candle,gravestone",zipper,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: zipper.",test,5,object,2
synthetic-vocab,synthetic_vocab__snake,snake,"hawk,gopher,highchair",snake,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: snake.",test,5,animal,2
synthetic-vocab,synthetic_vocab__camel,camel,"donkey,butterfly,windowsill",camel,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: camel.",test,5,animal,2
synthetic-vocab,synthetic_vocab__chain,chain,"trap,lettuce,warthog",chain,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: chain.",test,5,object,2
synthetic-vocab,synthetic_vocab__helicopter,helicopter,"car,dress,tumbleweed",helicopter,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: helicopter.",test,5,object,2
synthetic-vocab,synthetic_vocab__basketball,basketball,"volleyball,stereo,cheetah",basketball,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: basketball.",test,5,object,2
